TICKER_SYMBOL_IDENTIFIER,PRODUCT_TYPE
PLCIX,Mutual Funds
FHEIX,Mutual Funds
VITPX,Mutual Funds
FDCFX,Mutual Funds
FTBFX,Mutual Funds
ARTRX,Mutual Funds
HWCIX,Mutual Funds
NSMAX,Mutual Funds
POSAX,Mutual Funds
SUSEX,Mutual Funds
CFLRX,Mutual Funds
MWOHX,Mutual Funds
MMAFX,Mutual Funds
CAERX,Mutual Funds
ECASX,Mutual Funds
CPXAX,Mutual Funds
HTAYX,Mutual Funds
RIGGX,Mutual Funds
VMNVX,Mutual Funds
DEMZX,Mutual Funds
IEYAX,Mutual Funds
PSSPX,Mutual Funds
ICLEX,Mutual Funds
FDESX,Mutual Funds
WAUAX,Mutual Funds
JGGNX,Mutual Funds
JABNX,Mutual Funds
SHSAX,Mutual Funds
FOSKX,Mutual Funds
JPSRX,Mutual Funds
IDYAX,Mutual Funds
CRBRX,Mutual Funds
GPIOX,Mutual Funds
PYEFX,Mutual Funds
VCSAX,Mutual Funds
FSSVX,Mutual Funds
URTCX,Mutual Funds
GLBIX,Mutual Funds
MAWIX,Mutual Funds
GAPAX,Mutual Funds
TDADX,Mutual Funds
RBAEX,Mutual Funds
PBDCX,Mutual Funds
OGMIX,Mutual Funds
GITAX,Mutual Funds
GASRX,Mutual Funds
MIGAX,Mutual Funds
VTCAX,Mutual Funds
AMWIX,Mutual Funds
USIFX,Mutual Funds
FIRSX,Mutual Funds
BFRAX,Mutual Funds
ARDMX,Mutual Funds
FAISX,Mutual Funds
RPMIX,Mutual Funds
LTMSX,Mutual Funds
HDSAX,Mutual Funds
PHPPX,Mutual Funds
RBFFX,Mutual Funds
TAVFX,Mutual Funds
JALGX,Mutual Funds
ALTFX,Mutual Funds
HEQIX,Mutual Funds
TYHYX,Mutual Funds
WVALX,Mutual Funds
JMCCX,Mutual Funds
KIFYX,Mutual Funds
SSDLX,Mutual Funds
OCIIX,Mutual Funds
LPSFX,Mutual Funds
VSVIX,Mutual Funds
FGCOX,Mutual Funds
PHIYX,Mutual Funds
VMRAX,Mutual Funds
BACAX,Mutual Funds
RHETX,Mutual Funds
VERSX,Mutual Funds
REIIX,Mutual Funds
PRGSX,Mutual Funds
RVPRX,Mutual Funds
PCGRX,Mutual Funds
TFFAX,Mutual Funds
